id,dt_tm,lang,retweet,name,body,lat,lon
646877104794025984,Thu Sep 24 02:41:34 +0000 2015,en,0,JuGsLipsandLEGS,The Halloween episode of blackish has Nate in it,,
646877105339375616,Thu Sep 24 02:41:34 +0000 2015,en,0,RozanaDealsa,Clothing &amp; Accessories &gt;&gt; http://t.co/IhPctLdTuC #675 Womens Deluxe Mother Superior Nun Halloween Costume http://t.co/NxM8lks5Vi,,
646877107633586176,Thu Sep 24 02:41:35 +0000 2015,en,1,breezybalti,RT @eIena420: me on halloween  https://t.co/CQCL7PC2F9,,
646877108283641856,Thu Sep 24 02:41:35 +0000 2015,en,1,StephxMartinez,RT @thestevepatrick: my soul is orange and black for halloween .,,
646877109865086977,Thu Sep 24 02:41:36 +0000 2015,en,0,larryhastomarry,This is what i wanna be for Halloween human ariel is it good ¿yes or no? http://t.co/62dfTQWKO1,,
646877110124998656,Thu Sep 24 02:41:36 +0000 2015,en,0,narukoshokichis,j-world is having a haikyuu halloween party wtf ru d e,,
646877110913527808,Thu Sep 24 02:41:36 +0000 2015,en,0,wutevr_em,Halloween is the best holiday yet we get no type of break for it... Okay,,
646877113749012480,Thu Sep 24 02:41:36 +0000 2015,en,0,QuickDealzz,Clothing &amp; Shoes &gt;&gt; Sexy Bear Costume Adult Outfit Halloween Fancy Dress #048 http://t.co/ixd2Xt4ph8 http://t.co/l1VmjMOQu3,,
646877114361221121,Thu Sep 24 02:41:37 +0000 2015,en,0,CorganMervantes,Halloween recipes are Pinterest are SO cute.,,
646877116068425728,Thu Sep 24 02:41:37 +0000 2015,en,0,stephen_coss,I'm just really excited for Halloween 👻🎃🎃🎉💥,,
646877115607031809,Thu Sep 24 02:41:37 +0000 2015,en,0,kielyannese,“@MensHumor: Somebody make this happen for Halloween http://t.co/Bp4ZBWSmLM” @Bpearly19 @jharty3,43.50291,-70.383335
646877117116903424,Thu Sep 24 02:41:37 +0000 2015,en,0,QuickDealzz,Clothing &amp; Shoes &gt;&gt; Jr Fighter Pilot Costume Kids Halloween Fancy Dress #048 http://t.co/9woXKNASU9 http://t.co/f0sR8bJqlF,,
646877119096557568,Thu Sep 24 02:41:38 +0000 2015,en,1,_badashh,RT @sexualgifs_: halloween town and chill? http://t.co/Dq1dHBUznp,,
646877119021252608,Thu Sep 24 02:41:38 +0000 2015,en,0,RozanaDealsa,Clothing &amp; Accessories &gt;&gt; http://t.co/fdCjMNqQVz #675 Creepy Rubber Pug Latex Animal Face Head Halloween Costume … http://t.co/JNKUVqtWQX,,
646877122095480832,Thu Sep 24 02:41:38 +0000 2015,en,0,SadiieGracee,@kirsten_marena no typo there... *Halloween 🎃👻,,
646877122519240704,Thu Sep 24 02:41:39 +0000 2015,en,1,Alexchobot7,RT @The2019Seniors: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Mond…,,
646877124498993152,Thu Sep 24 02:41:39 +0000 2015,en,1,ashleyguiney164,RT @bitchgirlstweet: I JUST CAN'T CONTAIN MY EXCITEMENT FOR COLD WEATHER AND FALL AND HALLOWEEN AND CHRISTMAS AND ALL OF THE ABOVE AHH,,
646877122812887040,Thu Sep 24 02:41:39 +0000 2015,en,0,DisturbancesTV,This year; shop at Uncle Sal's Halloween Superstore!  With @ActressKristin; @KingRTluv and Dannie Flanagan. http://t.co/Bg0yMOBEjQ,,
646877126898122752,Thu Sep 24 02:41:40 +0000 2015,en,0,Boondockfinds,I'll tweet your shop 15 days Tradinducks: http://t.co/n6gjRuPvEr #etsy #Bonanza #Squareup #Halloween #eSAX #share http://t.co/Ecd3SwMUgv,,
646877131050479616,Thu Sep 24 02:41:41 +0000 2015,en,0,tay_belll,Update - going as a pterodactyl for halloween,,
646877131415375873,Thu Sep 24 02:41:41 +0000 2015,en,1,parsley_paige,RT @SexualGif: Halloween movies n chill,,
646877131419582468,Thu Sep 24 02:41:41 +0000 2015,en,1,KashPoLoDowN,RT @theylove_KIMMIx: Idc how old I am I'm still going watch Disney channel for halloween town,,
646877132715524096,Thu Sep 24 02:41:41 +0000 2015,en,0,kimiamazing,Looking up Halloween costumes is much higher priority than planning,,
646877133332021248,Thu Sep 24 02:41:41 +0000 2015,en,1,adymansor,RT @MensHumor: Somebody make this happen for Halloween http://t.co/7ZqHyWQD53,,
646877134099738624,Thu Sep 24 02:41:41 +0000 2015,en,1,hectorbryan20,RT @GoalsCode: Halloween goals http://t.co/UnCMqQ9aun,,
646877137622966273,Thu Sep 24 02:41:42 +0000 2015,en,1,RobertLSegovia,RT @RobIsHalfWhite: I think I found my Halloween costume 😂 http://t.co/nefP1kq0Nj,,
646877138193371136,Thu Sep 24 02:41:42 +0000 2015,en,0,RepublikOFDave,Halloween's top costume every year is literally; 'Sexy (Relevant cultural topic)'  Will this top Sexy Ebola Nurse? http://t.co/iGfZzjcznT,,
646877139367673856,Thu Sep 24 02:41:43 +0000 2015,en,0,Based_Jock,I don't celebrate Halloween but I am tryna got to a dope ass costume party this year!,,
646877140059836416,Thu Sep 24 02:41:43 +0000 2015,en,1,prettyoverkill,RT @KidsOf2018: reasons why fall is #1: chilly weather  halloween  sweaters  pumpkins  literally everything  BUGS HAVE RETURNED TO HELL WHE…,,
646877139912945664,Thu Sep 24 02:41:43 +0000 2015,en,0,zipIocbag,should I dress up as a ziploc bag for Halloween,,
646877138059182080,Thu Sep 24 02:41:42 +0000 2015,en,0,Sitedealza,SHOES DEALS #6673 &gt; http://t.co/IColqlOpQY Sexy Bear Costume Adult Outfit Halloween Fancy Dress http://t.co/hkBRI4jgjm,,
646877141330710528,Thu Sep 24 02:41:43 +0000 2015,en,0,xxDCArt,❧ő How about these jack o lantern #earrings ? #halloween jewerly fashion trending #handmade http://t.co/EUgCP0d9uK http://t.co/YL3W4kVh4e,,
646877141515247616,Thu Sep 24 02:41:43 +0000 2015,en,0,millanajamilla4,Ben Cooper ZORRO Costume vintage Walt Disney Productions Halloween Playsuit +box http://t.co/py3exjZ7S4 http://t.co/OPJuzxvbdV,,
646877143000084480,Thu Sep 24 02:41:43 +0000 2015,en,1,laura_rosee_,RT @theCheerBook: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Monday…,,
646877142962192384,Thu Sep 24 02:41:43 +0000 2015,en,1,kitkats5311,RT @SincerelyTumblr: reasons why fall is #1: -chilly weather -halloween -sweaters -pumpkins -literally everything - BUGS HAVE RETURNED TO H…,,
646877143163641856,Thu Sep 24 02:41:43 +0000 2015,en,0,baked_goodiess,Girls discussing Halloween costume ideas... 'Lets be Halloween cookies'    'Okay let's not get laid',,
646877148972617729,Thu Sep 24 02:41:45 +0000 2015,en,1,SeedallAbbi,RT @megan_myler: watch Halloween movies and carve pumpkins with me so I know it's real,,
646877151338332160,Thu Sep 24 02:41:45 +0000 2015,en,1,Pigglet__,RT @theCheerBook: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Monday…,,
646877158636433408,Thu Sep 24 02:41:47 +0000 2015,en,1,50shades_of_may,RT @SincerelyTumblr: Halloween movies n chill,,
646877158653206528,Thu Sep 24 02:41:47 +0000 2015,en,0,Sitedealza,SHOES DEALS #6673 &gt; http://t.co/TWNxPrVRqM PIRATE PEARL TEETH For Halloween http://t.co/myykAxhkrr,,
646877159819214848,Thu Sep 24 02:41:47 +0000 2015,en,1,AlyseJodie,RT @CraziestSex: Halloween movies n chill,,
646877161190653952,Thu Sep 24 02:41:48 +0000 2015,en,1,emmabaabeyy,RT @babbyemm_: I wanna go to Halloween Horror Nights at Universal,,
646877160926519296,Thu Sep 24 02:41:48 +0000 2015,en,0,Sitedealza,SHOES DEALS #6673 &gt; http://t.co/cr61TuYPXG Plus Size Plug and Socket Couple Halloween Costume for Adults http://t.co/ZHXymfoDOu,,
646877164118274048,Thu Sep 24 02:41:48 +0000 2015,en,1,JulioGarciaJr71,RT @theCheerBook: 5 Mondays to halloween... 8 Mondays to thanksgiving... 12 Mondays to Christmas... 26 Mondays to spring break... 39 Monday…,,
646877164856602625,Thu Sep 24 02:41:49 +0000 2015,en,0,tymyshoe12,🍃🍂🍁I LOVE FALL BECAUSE SALTED CARAMEL MOCHAS AND HALLOWEEN AND SEASON PREMIERES OF TV SHOWS COME BACK 🍁🍃🍂,,
646877165766770689,Thu Sep 24 02:41:49 +0000 2015,en,1,mariarawks,RT @sexualgifs_: halloween town and chill? http://t.co/Dq1dHBUznp,,
646877167754678273,Thu Sep 24 02:41:49 +0000 2015,en,0,kristizup,Yup got my Halloween costume picked out already #38days,,
